seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12783,2024,TUR.1,997,17429,5,4,3,0,2,0,1,0,0,0,1,0,0,0,1,2025-01-30 14:44:19
12783,2024,TUR.1,997,31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:44:19
12783,2024,TUR.1,20736,68067,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2024-07-13 02:50:19
12783,2024,TUR.1,432,89687,20,2,18,21,2,0,0,6,0,19,36,4,0,0,18,2025-01-30 14:44:16
12783,2024,TUR.1,20729,98401,14,2,10,9,3,0,0,1,0,2,6,0,0,0,11,2025-01-30 14:44:15
12783,2024,TUR.1,20736,98668,25,8,0,0,4,1,0,0,0,2,2,2,0,0,19,2024-07-13 02:50:19
12783,2024,TUR.1,436,102337,20,6,11,30,1,0,0,2,0,28,58,10,0,0,13,2025-01-30 14:44:16
12783,2024,TUR.1,6870,108251,18,5,12,19,3,0,0,1,0,8,27,2,0,0,20,2025-01-30 14:44:18
12783,2024,TUR.1,7914,108303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:44:17
12783,2024,TUR.1,432,108622,20,0,0,6,3,0,0,0,0,0,0,0,0,50,22,2025-01-30 14:44:16
12783,2024,TUR.1,20737,110191,16,3,6,15,4,0,0,2,0,4,15,1,0,0,20,2025-01-30 14:44:17
12783,2024,TUR.1,3794,113459,15,0,15,7,2,1,0,0,0,2,15,0,0,0,28,2025-01-30 14:44:14
12783,2024,TUR.1,20765,116863,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2025-01-30 14:44:13
12783,2024,TUR.1,20729,119005,6,4,0,3,1,0,0,0,0,0,1,0,0,0,4,2025-01-09 05:39:25
12783,2024,TUR.1,789,121314,13,7,9,4,0,0,0,1,0,0,6,0,0,0,8,2025-01-30 14:44:17
12783,2024,TUR.1,436,122575,20,3,13,24,1,0,0,9,0,16,31,8,0,0,18,2025-01-30 14:44:16
12783,2024,TUR.1,3691,122988,14,2,19,30,4,0,0,0,0,10,20,3,0,0,25,2025-01-30 14:44:19
12783,2024,TUR.1,20729,123069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:44:15
12783,2024,TUR.1,3794,123261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-17 05:50:14
12783,2024,TUR.1,2429,123651,20,16,0,0,1,0,0,0,0,3,3,3,0,0,10,2024-07-13 02:50:25
12783,2024,TUR.1,7914,124126,16,3,34,34,6,0,0,1,0,5,16,2,0,0,17,2025-01-30 14:44:17
12783,2024,TUR.1,1895,124880,19,0,1,1,3,0,0,0,0,0,0,0,0,49,19,2025-01-30 14:44:14
12783,2024,TUR.1,2429,127466,8,5,0,0,1,0,0,0,0,0,0,0,0,0,6,2024-07-13 02:50:25
12783,2024,TUR.1,11429,129556,17,14,6,4,0,0,0,1,0,6,14,5,0,0,3,2025-01-30 14:44:18
12783,2024,TUR.1,1895,130123,17,2,11,11,3,0,0,1,0,15,35,10,0,0,11,2025-01-30 14:44:14
12783,2024,TUR.1,20736,132069,15,6,0,0,2,0,0,0,0,0,0,0,0,0,13,2024-07-13 02:50:19
12783,2024,TUR.1,3794,132432,15,10,3,9,1,0,0,0,0,2,7,0,0,0,8,2025-01-30 14:44:14
12783,2024,TUR.1,20736,135216,23,6,0,0,5,2,0,0,0,4,4,4,0,0,25,2024-07-13 02:50:19
12783,2024,TUR.1,436,136585,5,5,4,1,0,0,0,0,0,2,3,1,0,0,1,2025-01-30 14:44:16
12783,2024,TUR.1,7648,137564,19,6,12,10,3,0,0,0,0,6,29,3,0,0,15,2025-01-30 14:44:18
12783,2024,TUR.1,1895,140108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:44:14
12783,2024,TUR.1,789,140110,17,14,4,6,1,0,0,0,0,2,3,1,0,0,10,2025-01-30 14:44:17
